Comment,Designator,Footprint,LCSC
"Antenna","AE1","RF_Antenna:Texas_SWRA416_868MHz_915MHz",""
"Battery_Cell","BT1","BatteryHolders:BS-24-B4AK014",""
"10u","C1,C3,C6,C13,C14,C15,C21,C24","Capacitor_SMD:C_0805_2012Metric","C15850"
"22u","C16,C18,C19,C20","Capacitor_SMD:C_0805_2012Metric","C602037"
"100n","C2,C4,C9,C10,C11,C12,C17,C22,C23,C25","Capacitor_SMD:C_0402_1005Metric","C307331"
"220uF_E_LV","C26","Capacitor_SMD:CP_Elec_6.3x5.4","C3345"
"4.7n","C5","Capacitor_SMD:C_0402_1005Metric","C1538"
"8.2n","C7,C8","Capacitor_SMD:C_0402_1005Metric","C107032"
"Green_0603","D1,D2,D5,D6","LED_SMD:LED_0603_1608Metric","C72043"
"B340A-13-F","D3","DIOM5226X240N","C64982"
"1N5819HWQ-7-F","D4","SOD3716X145N","C2905649"
"MountingHole","H1,H2,H3,H4","personal:MountingHole_3.2mm_M3_Small",""
"ESP32-WROOM-32E(8MB)","IC1","ESP32WROOM32E8MB","C701342"
"SHT20","IC2","SON100P300X300X110-7N",""
"TP4056X","IC3","SOIC127P600X175-9N","C16581"
"FS8205A","IC4","SOP65P640X120-8N","C16052"
"DW01+G","IC5","SamacSys_Parts:SOT95P280X145-6N","C14213"
"TPS54331DR","IC6","SOIC127P600X175-8N",""
"AMS1117-3.3","IC7","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"KF350-3.5-2P","J1,J2,J3","KF350352P","C474892"
"10118193-0001LF","J4","101181930001LF",""
"PH-2V","J5","SHDR2W52P0X200_1X2_600X460X630P","C146082"
"Conn_01x04","J6","Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical",""
"SB_NO","JP1,JP2,JP3,JP4,JP5,JP6","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm",""
"SB_NC","JP7,JP8,JP9","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm",""
"10uH","L1","SamacSys_Parts:INDPM4040X300N","C38117"
"MUN5214DW1T1G","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6","C94403"
"0","R1,R2,R14,R15","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17477"
"3.3k","R10","Resistor_SMD:R_0402_1005Metric","C25890"
"220","R12","Resistor_SMD:R_0402_1005Metric","C25091"
"DNF_0402","R13","Resistor_SMD:R_0402_1005Metric",""
"10k","R5,R9,R11,R16,R19,R20","Resistor_SMD:R_0402_1005Metric","C25744"
"2.2k","R3,R18","Resistor_SMD:R_0402_1005Metric","C25879"
"1k","R4,R6,R7,R17","Resistor_SMD:R_0402_1005Metric","C11702"
"100","R8","Resistor_SMD:R_0402_1005Metric","C25076"
"TS-1101-C-W","S1,S2","TS1101CW","C318938"
"USB Test Point","TP3","personal:USB_TestPoint",""
"TestPoint_Alt","TP1,TP2,TP4,TP5,TP6,TP7","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"Ai-Thinker-Ra-01H","U1","RF_Module:Ai-Thinker-Ra-01-LoRa","C503593"
"USBLC6-2P6","U3","Package_TO_SOT_SMD:SOT-666","C2827693"
"CH340C","U4","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C84681"
