Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"AE1","Antenna","Texas_SWRA416_868MHz_915MHz",205.250000,-113.050000,0.000000,top
"C1","10u","C_0805_2012Metric",195.200000,-125.050000,90.000000,top
"C2","100n","C_0402_1005Metric",193.180000,-126.000000,180.000000,top
"C3","10u","C_0805_2012Metric",223.650000,-161.600000,-90.000000,top
"C4","100n","C_0402_1005Metric",175.750000,-161.950000,-90.000000,top
"C5","4.7n","C_0402_1005Metric",230.850000,-124.050000,180.000000,top
"C6","10u","C_0805_2012Metric",230.700000,-155.050000,0.000000,top
"C7","8.2n","C_0402_1005Metric",230.370000,-122.570000,-90.000000,top
"C8","8.2n","C_0402_1005Metric",220.830000,-112.950000,180.000000,top
"C9","100n","C_0402_1005Metric",232.230000,-150.850000,0.000000,top
"C10","100n","C_0402_1005Metric",223.330000,-107.750000,0.000000,top
"C11","100n","C_0402_1005Metric",190.770000,-153.650000,180.000000,top
"C12","100n","C_0402_1005Metric",216.250000,-154.130000,0.000000,top
"C13","10u","C_0805_2012Metric",223.550000,-143.500000,180.000000,top
"C14","10u","C_0805_2012Metric",224.870000,-119.250000,-90.000000,top
"C15","10u","C_0805_2012Metric",231.850000,-133.900000,90.000000,top
"C16","22u","C_0805_2012Metric",216.250000,-157.380000,-90.000000,top
"C17","100n","C_0402_1005Metric",217.750000,-156.950000,-90.000000,top
"C18","22u","C_0805_2012Metric",220.750000,-108.400000,90.000000,top
"C19","22u","C_0805_2012Metric",224.870000,-115.750000,90.000000,top
"C20","22u","C_0805_2012Metric",222.770000,-115.750000,90.000000,top
"C21","10u","C_0805_2012Metric",184.700000,-155.450000,180.000000,top
"C22","100n","C_0402_1005Metric",187.250000,-135.490000,-90.000000,top
"C23","100n","C_0402_1005Metric",178.730000,-139.330000,-90.000000,top
"C24","10u","C_0805_2012Metric",183.100000,-133.170000,180.000000,top
"C25","100n","C_0402_1005Metric",183.450000,-115.850000,90.000000,top
"D1","Green_0603","LED_0603_1608Metric",225.750000,-154.562500,-90.000000,top
"D2","Green_0603","LED_0603_1608Metric",231.350000,-161.762500,-90.000000,top
"D3","B340A-13-F","DIOM5226X240N",226.170000,-122.850000,180.000000,top
"D4","1N5819HWQ-7-F","SOD3716X145N",184.700000,-151.850000,90.000000,top
"D5","Green_0603","LED_0603_1608Metric",231.550000,-140.262500,-90.000000,top
"D6","Green_0603","LED_0603_1608Metric",223.562500,-148.550000,0.000000,top
"IC1","ESP32-WROOM-32E(8MB)","ESP32WROOM32E8MB",203.750000,-151.430000,180.000000,top
"IC2","SHT20","SON100P300X300X110-7N",186.095000,-116.420000,180.000000,top
"IC3","TP4056X","SOIC127P600X175-9N",227.750000,-159.850000,90.000000,top
